CalendarEventID,EventType,Description,StartDate,EndDate,AlternateDate,TeachingImpact,Active,CreatedDate,CreatedByAccountID,CreatedByAccountName,ModifiedByAccountID,ModifiedByAccountName,ModifiedDate
ACEVT-73016f82-21e6-4732-bc9d-0ceb884f533e,ISLAMIC_DAY,Laylatul-Bara'ah (Eve),2025-02-13,2025-02-13,2025-02-12,INFORMATION,TRUE,,,,,,
ACEVT-08bb6c87-2a47-4100-adf6-818d3f97ab38,ISLAMIC_DAY,First Taraweeh,2025-03-01,2025-03-01,2025-02-28,INFORMATION,TRUE,,,,,,
ACEVT-d3c09632-7e16-44c9-b24a-dd6d2941ad27,ISLAMIC_DAY,First Fast,2025-03-02,2025-03-02,2025-03-01,INFORMATION,TRUE,,,,,,
ACEVT-42d6238c-e803-4aa5-a32f-0f1eb0d03e05,ISLAMIC_DAY,Eid-ul-Fitr,2025-03-31,2025-03-31,2025-04-01,INFORMATION,TRUE,,,,,,
ACEVT-28cd080f-12f5-434d-b061-6d97fe65e083,ISLAMIC_DAY,Eid-ul-Adha,2025-06-07,2025-06-07,2025-06-08,INFORMATION,TRUE,,,,,,
ACEVT-9c387d78-22a6-4ca6-99bb-0c7f7e1a46cb,ISLAMIC_DAY,New Islamic Year,2025-06-27,2025-06-27,2025-06-28,INFORMATION,TRUE,,,,,,
ACEVT-a11c575b-778e-4fd7-a092-bc98f4757915,ISLAMIC_DAY,‘Aashuraa,2025-07-06,2025-07-06,2025-07-07,INFORMATION,TRUE,,,,,,
ACEVT-65e38032-c866-4fc7-b9b6-2c11117e3da2,ISLAMIC_DAY,Laylatul-Bara'ah (Eve),2026-02-03,2026-02-03,2026-02-02,INFORMATION,TRUE,,,,,,
ACEVT-3c8150df-1a4d-4c1e-b394-fa1f05987330,ISLAMIC_DAY,First Taraweeh,2026-02-18,2026-02-18,2026-02-19,INFORMATION,TRUE,,,,,,
ACEVT-a535fc94-cec0-4468-8722-dd7b09ea0267,ISLAMIC_DAY,First Fast,2026-02-19,2026-02-19,2026-02-20,INFORMATION,TRUE,,,,,,
ACEVT-7d16e12b-7784-4761-a5d8-e6b01708e39a,ISLAMIC_DAY,Eid-ul-Fitr,2026-03-21,2026-03-21,2026-03-20,INFORMATION,TRUE,,,,,,
ACEVT-f76cb73a-8ee2-423d-9efd-467106ef0d36,ISLAMIC_DAY,Eid-ul-Adha,2026-05-28,2026-05-28,2026-05-29,INFORMATION,TRUE,,,,,,
ACEVT-638f0223-a13b-468c-b228-bd71cb82d01d,ISLAMIC_DAY,New Islamic Year,2026-06-17,2026-06-17,2026-06-18,INFORMATION,TRUE,,,,,,
